STOCK,Date,Open,High,Low,Close,Adj Close,Volume,Close_7_Days
AAPL,22/3/2024,171.759995,173.050003,170.059998,172.279999,172.046646,71106600,Nan
META,22/3/2024,507,509.970001,504.339996,509.579987,509.579987,8117000,Nan
AMD,21/3/2024,185.970001,187.690002,177.660004,178.679993,178.679993,75265600,180.490005
NVDA,21/3/2024,923,926.47998,904.049988,914.349976,914.349976,48037200,903.559998
MSFT,21/3/2024,429.829987,430.820007,427.160004,429.369995,428.596924,21296200,420.720001
AMZN,21/3/2024,179.990005,181.419998,178.149994,178.149994,178.149994,32824300,180.380005
GOOG,21/3/2024,150.320007,151.304993,148.009995,148.740005,148.740005,19843900,152.259995
AAPL,21/3/2024,177.050003,177.490005,170.839996,171.369995,171.137878,106181300,171.479996
META,21/3/2024,514.710022,515.039978,506.01001,507.76001,507.76001,9712500,485.579987
AMD,20/3/2024,182.029999,182.679993,174,179.729996,179.729996,81773100,179.589996
NVDA,20/3/2024,897.969971,904.099976,882.22998,903.719971,903.719971,47906300,902.5
MSFT,20/3/2024,422,425.959991,420.660004,425.230011,424.464386,17860100,421.429993
AMZN,20/3/2024,176.139999,178.529999,174.639999,178.149994,178.149994,29947200,179.830002
GOOG,20/3/2024,148.789993,149.759995,147.664993,149.679993,149.679993,17730000,151.940002
AAPL,20/3/2024,175.720001,178.669998,175.089996,178.669998,178.427994,53423100,173.309998
META,20/3/2024,499.5,508.200012,495.170013,505.519989,505.519989,11711100,493.859985
AMD,19/3/2024,183.160004,185.610001,177.360001,181.419998,181.419998,83509500,177.869995
NVDA,19/3/2024,867,905.440002,850.099976,893.97998,893.97998,67217100,925.609985
MSFT,19/3/2024,417.829987,421.670013,415.549988,421.410004,420.651276,19837900,421.649994
AMZN,19/3/2024,174.220001,176.089996,173.520004,175.899994,175.899994,26880900,178.300003
GOOG,19/3/2024,148.979996,149.619995,147.009995,147.919998,147.919998,17748400,151.699997
AAPL,19/3/2024,174.339996,176.610001,173.029999,176.080002,175.841492,55215200,169.710007
META,19/3/2024,488.170013,496.630005,481.279999,496.23999,496.23999,10903100,495.890015
